;Michelin;Slug;Bookable;Street;ZipCode;Locality;Country;Longitude;Latitude;Cantidad_metodos_pago;Reservas_today;Reservas_last_week;Rate_Distinction;Numero_fotos;Is_Affiliated;Name;Average_Price;Numero_awards;Review_count;Rating_count;Food_rating;Service_rating;Ambience_rating;Tipo_comida;Provincia;Poblacion;Salario Medio Anual
4141;False;namaste-grill;True;C. Fajardo, 2;29005;Málaga;Spain;-4.424297999999999;36.7212345;2;0;2;;10;True;Namaste Grill;25.0;0;1.0;2.0;;;;Indian;malaga;1695651;17390
4142;False;picnic-soho-diner-coffee;True;Calle Barroso, 10;29001;Málaga;Spain;-4.4232298;36.7157346;5;0;2;;20;True;Picnic Soho Diner & Coffee;18.0;0;30.0;90.0;8.0;7.6;7.8;American;malaga;1695651;17390
4143;False;la-proa-de-teatinos;True;Calle Andrómeda, 11;29010;Málaga;Spain;-4.4773013;36.7226855;4;0;6;Excellent;25;True;La Proa de Teatinos;23.0;0;403.0;643.0;9.3;9.2;8.9;Mediterranean;malaga;1695651;17390
4144;False;alma-lima;True;P.º Marítimo Cdad. de Melilla, 9;29016;Málaga;Spain;-4.4124336;36.7160747;4;0;5;Very good;18;True;Alma Lima;25.0;0;31.0;71.0;8.6;8.2;7.7;Peruvian;malaga;1695651;17390
4145;False;la-cabrera-malaga;True;Calle Bolsa, 9;29015;Málaga;Spain;-4.4204797;36.7194426;5;14;226;Excellent;11;True;La Cabrera Málaga;35.0;0;356.0;861.0;9.3;9.3;9.2;Argentinian;malaga;1695651;17390
4146;False;asador-ovidio-2;True;Calle Bolsa, 3;29015;Málaga;Spain;-4.4209968;36.719421;4;6;73;Very good;11;True;Asador Ovidio 2;20.0;0;125.0;305.0;8.6;8.3;8.2;Mediterranean;malaga;1695651;17390
4147;False;los-marangos;True;Calle Beatas, 23;29008;Málaga;Spain;-4.4193654;36.7229131;6;2;21;Very good;19;True;Los marangós;20.0;0;407.0;799.0;8.4;8.3;8.1;Spanish;malaga;1695651;17390
4148;False;caremm-gastrobar;True;Calle Bolivia, 37;29017;Málaga;Spain;-4.3794599;36.7216698;2;0;6;Excellent;16;True;Caremm Gastrobar;16.0;0;70.0;162.0;9.2;9.0;8.9;Mediterranean;malaga;1695651;17390
4149;False;principe-de-asturias-gran-hotel-miramar;True;Paseo Reding, 22;29016;Málaga;Spain;-4.4081824;36.7207441;4;4;42;Excellent;7;True;Príncipe de Asturias - Gran Hotel Miramar;80.0;0;52.0;128.0;9.0;8.9;9.4;Mediterranean;malaga;1695651;17390
4150;False;la-tagliatella-muelle-uno;True;Paseo del Muelle Uno, s/n;29001;Málaga;Spain;-4.412994;36.7184305;3;1;3;Excellent;3;True;La Tagliatella - Muelle Uno;18.0;0;23.0;79.0;9.1;9.6;8.7;Italian;malaga;1695651;17390
4151;True;ta-kumi-malaga;True;C. Mundo Nuevo, 4;29012;Málaga;Spain;-4.4164808;36.7229322;5;0;0;Excellent;15;True;Ta-kumi Málaga;60.0;0;12.0;37.0;9.6;9.4;9.0;Japanese;malaga;1695651;17390
4152;False;gorki-puerto;True;Muelle Uno Puerto de Málaga. CC Sea Shopping;29001;Málaga;Spain;-4.41459;36.71447;5;0;4;;9;True;Gorki Puerto;17.0;0;63.0;167.0;7.7;7.7;7.9;Spanish;malaga;1695651;17390
4153;False;novo-med-sushibar;True;C. Somera, 10;29001;Málaga;Spain;-4.4234607;36.7152076;5;8;58;Excellent;6;True;Novo Med & Sushibar;23.0;0;26.0;122.0;9.5;9.4;9.0;Japanese;malaga;1695651;17390
4154;False;sakura;True;C. Babel, 1;29006;Málaga;Spain;-4.4367225;36.7150451;5;0;13;Excellent;11;True;Sakura;20.0;0;204.0;621.0;9.2;9.2;9.2;Japanese;malaga;1695651;17390
4155;False;toro-muelle-uno;True;Paseo de la Farola, Local 65;29001;Málaga;Spain;-4.4145552;36.7147133;7;15;162;;8;True;Toro Muelle Uno;20.0;0;36.0;128.0;8.1;7.7;7.8;Mediterranean;malaga;1695651;17390
